bug: ap_escape_html2 in http2env, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: apr_cpystrn in log_env_var, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in mpm_common_pre_config, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_note, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_loglevel, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in arr_elts_getstr, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_log_id, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_virtual_host, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_header, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_server_name, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_module_name, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in core_pre_config, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in log_constant_item, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_table_elts in ap_fcgi_encode_env, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 125.00%
bug: apr_table_elts in ap_process_request, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 125.00%
bug: apr_table_elts in ap_fcgi_encoded_env_len, pair: (apr_palloc, apr_table_elts), support: 10, confidence: 125.00%
bug: apr_pstrmemdup in ap_varbuf_regsub, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_get_token, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_psignature, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_getword_nc, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_init_virtual_host, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in parse_errorlog_item, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_escape_html2, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_parse_form_data, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in start_cond_section, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_getword_white_nc, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in core_check_config, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in core_insert_filter, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_getword, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_pregsub, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_parse_vhost_addrs, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_pregsub_ex, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in regsub_core, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_send_error_response, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_get_exec_line, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_log_rerror_, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_limit_section, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_getword_white, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_pstrmemdup in ap_make_dirstr_parent, pair: (apr_pstrmemdup, strchr), support: 20, confidence: 86.96%
bug: apr_filepath_merge in ap_mpm_set_coredumpdir, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_runtime_dir_relative, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_mutex_register, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in test_iffile_section, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in dirsection, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_dump_mutexes, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in filesection, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_process_fnmatch_configs, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_set_file_slot, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_mpm_dump_pidfile, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in include_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in set_runtime_dir, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in dso_load, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_server_root_relative, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_parse_mutex, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_sub_req_lookup_file, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in core_dump_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in ap_mutex_init, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in set_server_root, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: apr_filepath_merge in core_map_to_storage, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 115.38%
bug: log_error_core in ap_check_pipeline, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in http2env, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in make_sock, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_cookie_read, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in load_module, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_pcfg_openfile, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_init_rng, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in core_upgrade_handler, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_update_vhost_from_headers, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_end_gen_helper, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in process_socket, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_get_local_host, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_remove_module, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_log_assert, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in basic_http_header, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in make_child, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in op_url_subr, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in fix_hostname, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_xml_parse_input, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in listener_thread, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in worker_thread, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_parse_htaccess, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_recursion_limit, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_process_child_status, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_signal_server, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_default_type, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in core_pre_connection, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in core_post_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_apply_accept_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in abort_socket_nonblocking, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_set_listener, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_fatal_signal_setup, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_gname2id, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in stop_lingering_close, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_switch_protocol, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_core_child_status, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in send_brigade_nonblocking, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_process_request_internal, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in log_data_core, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_error_document, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_podx_signal, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_method_register, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in piped_log_spawn, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_unixd_mpm_set_signals, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_podx_killpg, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_fcgi_encode_env, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_fini_vhost_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_override, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in core_create_conn, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_override_list, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_setup_client_block, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_pass_brigade_fchk, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_select_protocol, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_note_auth_failure, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_get_mime_headers_core, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_content_length_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_core_output_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_loglevel, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_safe_kill, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in table_do_fn_check_lengths, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_note_basic_auth_failure, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in process_timeout_queue, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in event_check_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in sig_coredump, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_process_config_tree, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_die_r, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in log_backtrace, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_send_interim_response, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in set_max_workers, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_cookie_remove, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_log_mpm_common, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in event_open_logs, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in core_override_type, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in child_main, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in default_handler, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_if_walk_sub, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_response_code_string, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in decl_die, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_uname2id, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_http_header_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in usage, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_set_max_requests, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in join_workers, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_parse_vhost_addrs, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_cookie_write2, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_process_request, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_unixd_set_rlimit, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in dummy_connection, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_invoke_handler, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in push2worker, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in load_file, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_log_command_line, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in start_threads, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in reclaim_one_pid, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_cookie_write, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_http_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_is_recursion_limit_exceeded, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in piped_log_maintenance, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in add_any_filter, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_read_request, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_duplicate_listeners, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in invoke_cmd, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_resolve_env, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_sock_disable_nagle, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in event_pre_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_get_basic_auth_pw, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_unixd_accept, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_setup_listeners, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_expr_exec_ctx, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_note_digest_auth_failure, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_mpm_pod_signal, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_walk_config, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in event_run, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_scan_script_header_err_core_ex, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in internal_internal_redirect, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_process_async_request, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_set_name_virtual_host, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in log_child_errfn, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in unescape_func, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in check_headers_table, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_open_logs, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_reopen_scoreboard, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in add_any_filter_handle, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: log_error_core in ap_cookie_remove2, pair: (apr_filepath_merge, log_error_core), support: 15, confidence: 250.00%
bug: apr_pvsprintf in http2env, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_cookie_read, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_directory_walk, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_update_vhost_from_headers, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in basic_http_header, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in op_url_subr, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in fix_hostname, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_parse_htaccess, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_core_translate, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_process_request_internal, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_fcgi_encode_env, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_setup_client_block, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_pass_brigade_fchk, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_note_auth_failure, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in ap_get_mime_headers_core, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
bug: apr_pvsprintf in table_do_fn_check_lengths, pair: (apr_brigade_create, apr_pvsprintf), support: 10, confidence: 500.00%
